Gene	Num.sgRNA	Library.ES	Initial.ES	Final.ES	EnrichmentRatio	pval	qval
15-Sep	9	416.222222	2300.370370	1350.037037	-0.768867	0.2617110031178904	0.0226322093237516
A1BG	6	446.944444	2440.333333	890.777778	-1.453941	0.0610455160428973	0.0080016583747927
A1CF	6	3553.444444	51.277778	1046.111111	4.350559	0.0474514430533682	0.0066196793808734
A2M	6	2291.666667	2377.055556	1361.944444	-0.803508	0.1845914324505735	0.0178505620047909
A2ML1	6	1617.333333	839.555556	1556.722222	0.890814	0.3902593165872583	0.0291896996498987
A3GALT2	6	3377.388889	2544.277778	978.055556	-1.379268	0.1498099419439110	0.0152570480928690
A4GALT	6	317.944444	3544.888889	1372.777778	-1.368642	0.1168171381659135	0.0127602727105215
A4GNT	6	1307.666667	876.277778	1534.833333	0.808622	0.4065210952220712	0.0298668693569191
AAAS	6	3478.222222	2951.888889	1297.500000	-1.185904	0.0041282159214055	0.0011539524599226
AACS	6	891.444444	1465.000000	2076.555556	0.503292	0.2234744429833467	0.0204532891100055
AADAC	6	1611.166667	2833.277778	3038.333333	0.100808	0.7348781080193407	0.0418739635157546
AADACL2	6	1280.555556	2031.944444	1537.166667	-0.402587	0.5317940970036144	0.0349801916344205
AADACL3	6	265.444444	3207.722222	1824.388889	-0.814136	0.2552360018044973	0.0222613782937166
AADACL4	6	2960.555556	430.500000	2884.666667	2.744319	0.0016583386881462	0.0005896443707389
AADAT	6	3349.500000	1219.611111	1991.444444	0.707394	0.2916032936153414	0.0243274368896259
AAED1	6	2893.500000	139.777778	277.555556	0.989642	0.4514722960139703	0.0318062465450525
AAGAB	6	2618.888889	1807.166667	1677.777778	-0.107178	0.8744169889616350	0.0462179841533075
AAK1	6	3313.444444	1627.833333	885.888889	-0.877755	0.3684603639979389	0.0282338308457711
AAMDC	6	1757.444444	1938.333333	1573.166667	-0.301145	0.4377854133073038	0.0312672747374240
AAMP	6	1007.944444	1302.222222	1718.833333	0.400454	0.3804498187224563	0.0287889257416621
AANAT	6	2736.500000	2017.944444	2833.611111	0.489755	0.4800723004409066	0.0329855352865303
AAR2	6	3261.888889	376.888889	1291.277778	1.776588	0.3685055639344272	0.0282407407407407
AARD	6	2967.555556	1644.722222	393.833333	-2.062187	0.0351938052099678	0.0053137092316197
AARS	6	389.555556	3005.388889	1933.722222	-0.636171	0.0524539063600098	0.0071217984153308
AARS2	6	2233.166667	1899.111111	1234.000000	-0.621982	0.3847136221803084	0.0289662797125484
AARSD1	6	1960.222222	656.388889	484.166667	-0.439047	0.4890392326416023	0.0333056937534549
AASDH	6	1249.722222	1667.833333	1721.833333	0.045970	0.9615381957679243	0.0487953749769670
